,at,reviewCreatedVersion,content,score,sentiment
11,2023-04-07 01:51:20,5.3.2,"Betulkan dan benerin dulu tu aplikasi. Antusiasme macam apa kalo cuma merepotkan org lain. Ya bagi mereka yg punya smartphone dan jaringan stabil sih ga masalah, tapi itu ga semua. Masih banyak yg menggunakan hp senterdi daerah2 pelosok pendalaman. Jdi ni aplikasi ga bisa di andalkan.",2,negative
12,2023-04-05 04:11:20,5.3.2,"Dalam bulan maret pertengahan hingga awal april ini, aplikasi satusehat minta update terus. Sudah dilakukan update, sudah berhasil instal, tapi setelah dibuka masih muncul opsi perbarui ke versi baru, setelah klik perbarui di playstore, tulisannya hanya buka, setelah diklik buka, malah muncul perbarui lagi. Saya coba pake appmarket untuk updatenya, hasilnya sama, setelah instal minta update ketika dibuka, padahal ini sudah diupdate. Parah nih satusehat. Aplikasinya gak sehat.",1,negative
13,2023-03-31 09:21:01,5.3.1,"Buka aplikasi ini di suruh perbarui,tapi ga bisa bisa,bolak balik itu² jg yang keluar,gimana sih ini. Klik perbarui,kunjungi app,yg kluar aplikasi nya buka dan uninstal,pas d klik buka,di suruh perbarui aplikasi gitu terus berulang ulang,aplikasi ga kebuka,parah ni aplikasi",1,negative
14,2023-03-04 05:30:50,5.2.0,"Saya mengalami Bug di apps ini, ketika akan masuk apps layar hanya freeze di tampilan awal (hp saya Samsung A04). Saya mau download sertif vaksin. Ketika saya akan download lewat pedulilindungi.id , website tsb tidak bisa diakses. Saya juga sudah 'menghapus data' apps tersebut dan uninstall pedulilindungi, tetapi tetap terjadi bug. Saya coba di hape teman, bisa masuk dan download sertif vaksin, namun data yg ditampilkan tidak lengkap, tidak ada barcodenya juga. Mohon perbaikannya segera 🙏",1,negative
15,2023-03-04 02:24:38,5.2.0,"Aplikasi semakin lama semakin susah dipakai..! dibuka stuck hanya pada tampilan 1 sehat, di instal ulang pun setelah bisa masuk dan keluar dari aplikasi saat akan masuk stuck lagi, sudah berkali kali harus seperti itu saat akan berpergian dan masuk lokasi tertentu. Tolong bisa segera diperbaiki karena akan menyulitkan pengguna..",1,negative
16,2023-03-03 00:12:21,5.0.0,"Seharusnya kode verivikasi langsung ke SMS atau Wa ada pilihanya,sedangkan nomer yg terdaftar di peduli lindungi bukan nomer yg terdaftar di WA. Mau masuk tidak bisa karena tidak menerima otp/ verivikasi. Mestinya SMS jga masuk jga. Disitu ada tulisan kode dikirim lewat SMS/ WA. Tapi SMS tidak ada. Hanya masuk ke WA.",2,negative
17,2023-03-22 07:27:36,5.2.1,"Busuk nih Aplikasinya, mana udah vaksin ke 3 tapi di App nya masih ketulis 2 dan sertifikat ke 3 gak ada, dari pihak Puskesmasnya sudah mengkonfirmasi bahwa data sudah terinput dan berhasil, tapi status di App nya masih sama aja. Pas masuk nge Lag lagi, layarnya jadi putih aja gk bisa masuk-masuk.",1,negative
19,2023-03-26 14:21:44,5.2.1,"! Bug. Bolak balik daftar pake email + hp, cuma sampe tampilan luar doang ga bisa masuk. ! Tampilan terlalu minimalis dan bertumpuk2. Masa ngetik tertutup sama papan persetujuan persyaratan.(?) MOHON SEGERA DIPERBAIKI KARENA SEDANG SANGAT DIBUTUHKAN BANYAK PENGGUNA",1,negative
20,2023-03-04 00:40:27,5.2.0,"Ini gimana sih.. Verifikasi di kirim ke email dalam waktu 2 menit.. Tapi tidak muncul di email, ulang terus kirim..padahal jaringan max.. Semua ok.. Tapi tidak muncul..munculnya after 2 menit.. Jadi percuma kannnn..Tambah jelek aja apknya.. Ya.pokoknya tidak mengganggu perjalanan saja.. Karna dari apknya yang bermasalah.. Web pedulilindungi sajaaa.. Eror terus.. Gimana..csnya juga susah di hubungi.. Merepotkan",1,negative
21,2023-03-10 10:28:33,5.2.1,"Masih lebih bagus peduli lindungi.. Saya sudah vaksin booster malah tidak muncul sertifikat dan masih status dosis 2. Padahal sdh lbih dari seminggu. Disuruh update aplikasi smpe tdk bisa diupdate lagi tp ttp tidak ada menu klaim sertifikat. Untuk layanan pengaduan pun hanya ada WA otomatis, tidak dapat komunikasi dua arah. 😢",2,negative
22,2023-03-06 06:03:33,5.2.0,"Setelah update, aplikasi tidak bisa digunakan, nge bug hanya tampilan awal saja di hp saya. Jadi tidak bisa registrasi ulang. Sudah cpba uninstal 3x dan hapus data serta cache nya namun tidak bisa, izin sudah di aktifkan pun tidak bisa. Bagaimana solusinya ini min, bila ke bandara mau scan barcode atau bukti telah vaksin bagaimana ??",1,negative
23,2023-03-01 02:06:47,5.0.0,"Aplikasi mempersulit pengguna, semua yg di input tidak bisa terbaca, mau daftar juga tidak bisa katanya nomor telfon sudah terdaftar tapi pas pilih masuk malah di suruh daftar. Sertifikat vaksin saya juga tidak terbaca semua, ini sangat tidak membantu, malah mempersulit kalau mau donwload sertifikat. Yg dulunya ada sekarang malah hilang, bagaimana ini?? Email juga tidak dibalas, di WhatsApp pun tidak di respon.",1,negative
24,2023-03-01 04:49:17,5.0.0,"Abis update malah ga bisa login pake nomor ponsel, selalu muncul tulisan terjadi kesalahan, bukan nya makin oke malah makin sulit nih aplikasi, dan setelah berhasil masuk ke aplikasi sertifikat boster ke 2 saya tidak ada, padahal sebelum nya di aplikasi peduli lindungi sertifikat boster ke 2 saya sudah muncul.",1,negative
25,2023-04-01 11:30:10,5.3.1,"Seringnya pembaruan pembaruan bukan malah mempermudah membuka Apk tapi justru membuat masyarakat akan kecewa dgn adanya perubahan pembaruan yg tidak bisa dibuka ,hanya fitur blank..saya coba SDH berkali-kali unistal apk juga sama,nggk bisa dibuka..",2,negative
26,2023-03-05 18:16:52,5.2.0,"Tolonglah diperbaiki aplikasinya. Di HPsaya setelah selesai update, Ikon Shortcutnya malah gak ada muncul di layar smartphone. Jadi Kalau mau buka harus ke playstore dulu..kemudian harus ketik pedulilindungi baru muncul Aplikasi SATUSEHAT Mobile.",1,negative
27,2023-03-05 06:49:56,5.2.0,"Aplikasi selalu membuka Pengaturan di tab baru yang tidak bisa dibuka dan juga selalu berhenti di splash screen. Hal ini tetap terjadi meski aplikasi telah diberikan semua hak akses yang diminta. Mohon diperbaiki karena pemilik akun membutuhkan data vaksìnasi sesegara mungkin. Setidaknya berikan arahan selain memberikan pranala mati. Samsung Galaxy, Android 11. -sekali lagi bukan pemilik akun",1,negative
28,2023-03-12 12:19:02,5.2.1,"Sejak di perbarui pada 12Maret 2022 aplikasi tidak bisa dipakai , untuk masuk aplikasi disuruh masuk dengan nomor telepon maupun e mail, selalu muncul notifikasi nomor telepon sudah terpakai, kemudian disuruh daftar, kita daftar dengan benar muncul notifikasi akun tidak ditemukan, jadi Aplikasi SATU SEHAT Mobile ini maunya apa ????? Terlanjur di pembaruan app peduli lindungi malah sekarang tidak muncul data rekam vaksinasi 1, 2, dan booster Gimana donk solusinya.",1,negative
29,2023-03-05 05:02:57,5.2.0,"Kemungkinan Program ini dibuat bedasarkan Bahasa Pemrograman copian alias saduran yg hanya mengganti tampilan, logo dan Konten2 nya saja. Karena setelah dikopi dari PlayStore ygmuncul hanya logo bagian awal dan tdk brjalan seterusnya tuk bs melihat isi dari SATUSEHAT keseluruhan. Oleh karena itulah bila tdk bs membuat Bahasa Pemrograman tuk sesuatu yg vital dalam Negara Indonesia lebih baik dilakukan secara manual saja agar masyarakat tidak direpotkan dgn sistem yg GAGAL TOTAL.",1,negative
30,2023-03-09 20:41:52,5.2.0,"Kenapa setelah di-update malah gbisa buka aplikasinya, seperti ada bug'a...tlg diperbaiki kembali..., susah sekali tuk buka aplikasinya cuma muncul ikonnya saja,dan selalu muncul "" tolong perhatikan koneksi internet anda "" Padahal saya baru saja update aplikasinya... Kenapa muncul tulisan tsb, aneh sekali kalau bisa di-update berarti kan ada kuota internet dari hape/ jaringan saya🤦",1,negative
31,2023-03-08 03:57:57,5.2.0,"Mohon untuk di perbaiki,paling tidak memakai devloper aplikasi yang bagus. Masyarakat kita sangat tinggi mobilitasnya. Jika syarat utama penggunaan moda transportasi harus menggunakan aplikasi dan saat ini ada peralihan,harap di fikirkan juga dampaknya dan alternatif peggunaanya. Saya kira kita tidak kekurangan devlopment aplikasi.",1,negative
32,2023-03-01 01:49:09,5.0.0,"Setelah diperbarui kenapa jadi susah untuk log in. Kirim verifikasi kodenya aja masuk ga sesuai sama waktu yang tertera diaplikasinya, kalau sudah lewat waktunya baru masuk kode verifikasinya dan itu sudah tidak bisa dimasukkan alias ""vailed ootp"", gimana yah ini, makin susah. Dan buka diweb juga gabisa, biasanya bisa. Malah diweb keterangannya eror. Bagaimana ini peduli lindungi yg skrg malah ga beres. Tolong diperbaiki, jadi semua orang bisa menikmati memakai aplikasi ini tanpa ada problem.",1,negative
34,2023-04-03 02:50:44,5.3.1,"Peduli lindungi setelah ganti nama jadi satu sehat sering mengalami masalah, tidak bisa masuk aplikasi lah. Harus diperbaharui padahal sudah diperbaharui dan tidak bisa di klik masuk. Buruk sekali perubahan nya ini",1,negative
36,2023-04-04 15:51:56,5.3.2,Memang setelah update malah nggak bisa di buka..... Tapi bisa di atasi dg cara pencet tahan shortcut aplikasi pada layar samapai muncul *Info aplikasi* kemudian buka *penggunaan penyimpanan* kemudian *hapus data* setelelah itu klik menu *buka* dia atas dan ikuti perintah selanjutnya di jamin bug hilang dan normal kembali.,2,negative
37,2023-03-13 06:57:11,5.2.1,"Masih bagus aplikasi sebelumnya, setelah update aplikasi menjadi SATUSEHAT malahan tidak bisa masuk, minta kode verifikasi sementara tidak ada kode yang masuk ke kontak saya. Memangnya mau diketik dengan kode siluman???? Sungguh aplikasi tak berguna....!!!",2,negative
38,2023-03-29 18:08:20,5.3.1,"gabisa download sertifikat vaksin kaya dlu pas msih peduli lindungi, bbrp kli di coba malah trs ada ""muat ulang halaman atau coba lagi nanti"" sinyal bagus, penyimpanan udah oke, coba uninstall dan ngelakuin hal yg sama malah ada kata-kata yg serupa. gmn si ini, lg butuh banget sertifikat vaksin malah dipersulit.",1,negative
39,2023-03-31 17:11:43,5.3.1,Aplikasinya dibuka tidak mau ada keterangan mohon diperbarui setelah diperbarui kenapa malah aplikasinya error. Minta diperbarui setelah diperbarui bukannya tambah bener malah tidak bisa dipakai sama sekali..ini gimana sih??,1,negative
40,2023-04-06 02:34:43,5.3.2,"Tolong dong, ini saya mau download sertifikat vaksin gagal terus udah mau sebulanan.. Saya butuh sertifikat itu guna untuk mendaftar kerja dan keperluan lainnya. jangan menghambat dong, masih bagusan peduli lindungi daripada ini. kirain upgrade aplikasi jadi lebih baik, malah semakin ribet, udah coba email sm wa nggk ada solusi.. ngikutin cara di ignya nggk bekerja sama sekali, malah sama aja nggk bisa di download sertifikatnya.",1,negative
42,2023-03-08 09:50:13,5.2.0,"Aplikas harus update jadi satusehat, awal update oke tapi banyak info sertifikat yang jadi tidak jelas. Sejak 2 hari aplikasi tidak bisa digunakan hanya loading homepage dan membuka stelan handphone. Baca postingan ulasan semua masalah sama. Bahkan tgl 4 maret 2023 bantu teman yang tidak bisa login karena kode aktivasi tidak masuk, masih aja masalah berkepanjangan.",1,negative
43,2023-03-21 07:09:55,5.2.1,"Ini aplikasi di perbarui bukannya mempermudah,malah nambah nambah masalah , Akun gua yg tadinya udah masuk gara gara diperbarui,malah ilang gk bisa masuk lagi, Mending gk usah diperbarui balikin ke aplikasi yg lama aja,bukannya mempermudah malah nambah ruwed.",1,negative
44,2023-03-31 17:06:01,5.3.1,"Mohon Maaf apk SATU SEHAT kami anggap sangat buruk & menyusahkan! Byk Bug dan eror! Sejak PEDULI LINDUNGI imigrasi ke SATU SEHAT, utk Log-in saja susah. Dan 119 pun sudah tidak bisa di akses. Mohon dikembalikan lagi ke peduli lindungi dan Call Center 119 di aktifkan lagi utk proses lebih cepat. CS WA nya sangat tidak responsif. Terimakasih!",1,negative
45,2023-03-31 05:52:31,5.3.1,"Awal bisa dibuka aplikasinya tapi nama benar nik, tgl lahir dan sertifikat malah punya anak saya. Sy update tetap sama, sy coba uninstall dan install ulang eh skrg malah ga bisa dibuka, hanya ada gambar logo satu sehat, di klik tanda panah utk back juga ga bisa...",1,negative
47,2023-03-27 12:06:45,5.2.1,Sistem yg sangat buruk.. data saya yang terinput salah terus.. sudah sy perbaiki di dukcapil eh masuk ke aplikasi salah lagi.. komplain ke email & WA kemenkes gak di respon.!!! Gak guna kalian itu.. hanya mempersulit kami para rakyat...!!!,1,negative
48,2023-03-05 14:29:05,5.2.0,"Aplikasi satu sehat sampai saat ini stag di logo, tidak masuk ke menu. Padahal sebelumnya tidak apa-apa. Device saya samsung s8+. Padahal jaringan bagus dan menggunakan wifi juga bagus serta memori mumpuni. Mohon untuk solvingnya.",1,negative
49,2023-03-08 03:07:04,5.2.0,Saya mengalami bug saat masuk dan freezs pada tampilan. Sudah dicoba uninstall dan 'Menghapus data aplikasi' masih juga stuck. Ketika bisa di buka tidak bisa mengakses sertifikat vaksin. Mohon di perbaiki segera,1,negative
50,2023-03-04 22:11:20,5.2.0,"Sy menggunakan Samsung S10+, Android 12, Satu Sehat tidak bisa berfungsi. Selalu di halaman muka. Sdh uninstall dan reinstall 5x, mati hidupkan hp sdh berkali2. Ini sdh hari kedua tidak berfungsi. Sy sudah hapus data penyimpanan/memori dalam pengaturan aplikasi Satu Sehat, tetapi semuanya tidak berhasil. Apakah bisa kembali ke aplikasi peduli lindungi?",1,negative
51,2023-03-04 22:26:53,5.2.0,"Harusnya kalo mau di update itu di benerin 100% dulu kelancarannya, biar pengguna gak jadi ribet, mau masuk susah, mau daftar lagi gak bisa, udah dapat otp gak bisa di masukkan dengan tulisan akun tidak terdaftar,padahal otp sudah dikirim, sudah di masukkan ,tapi tetap gak bisa masuk. Yang bener donk, cari ahli IT yang moncer, jangan bayarin IT yang setengah setengah ilmunya. Kalo sudah ready 100% baru di launching. Pembaharuan bukannya lancar, malah bikin susah.",1,negative
52,2023-04-05 01:51:09,5.3.2,"Mohon maaf sebelumnya sejak menggunakan aplikasi *SATU SEHAT MOBILE* kenapa harus selalu di update versi terbaru ya ? Dan setelah melakukan update tetap saja tidak bisa dibuka aplikasinya. Berbeda dengan aplikasi.*PEDULI LINDUNGI* yang yang sangat mudah diakses, cepat dan informatif sekali. Masyarakat kita masih banyak yang lemah teknologi, sebaiknya buat aplikasi yang mudah untuk diakses, tidak ribet. 🙏🏼🙏🏼🙏🏼",1,negative
54,2023-03-30 08:19:52,5.3.1,"😭 waduuhh..., barusan tak update kok jadi error lagi sih min.. ? Why ? Selesai tak update, tak buka malah komennya minta di update, tak pencet langsung masuk play store, tapi disitu dah gak ada pilihan update. Hanya uninstal dan buka, pencet tombol buka kembali ke apknya dan minta di update. 😨 pusing saya",2,negative
55,2023-04-02 11:05:01,5.3.1,App yg menyesatkannnn. Herannn org jdi ga bisa kerja. Masuk dlm sebuah gedung gak bisa. Tiap buka app suruh di update giliran di klik update ga ada tombol update. Anehhhhh seriusan capekkk,1,negative
56,2023-04-07 12:05:31,5.3.2,"Aplikasi aneh, setelah diperbarui malah gak bisa dibuka, yg muncul cuma halaman depan. Gak profesional bangatt , gak jelasss..mending yg lama puguh...👎 Ini aplikasi apaan sik, udah bbrp diminta diupdate, sdh di update, tp tetap gk bs dibuka , hadeuhh parah bangattt, sudah byk yg laporan tp tetap aja gak ada perbaikan. Amat sangat tidak Profesional, taukkkkk...👎👎👎👎",1,negative
57,2023-03-08 10:19:59,5.2.0,"setelah di update malah jadi tidak bisa masuk, hanya stuck di tampilan awal klik aplikasi. Mohon untuk di perbaiki, karena klo kmana"" harus barcode, sedangkan aplikasi untuk barcode nya gk bagus begini.. mohon untuk segera, sudah banyak yg complain terkait kasus yg serupa.",1,negative
58,2023-04-03 17:57:42,5.3.1,Sudah download berulang² . Ada udh 30x ualng download aplikasi tetap gak bisa di buka sama sekali. Sy pake hp samsung. Hanya muncul logo satusehat awal saja tidak bergerak sama sekali walau sudah di tunggu lamaa.,1,negative
59,2023-03-06 02:34:34,5.2.0,"Setelah diupgrade/diupdate dari App.PeduliLindungi ke SatuSehat....... Aplikasinya ditidak bisa dibuka hanya bisa diteruskan ke Notifikasi Applikasi trus balik lg ke wallpaper Aplikasi....boro-boro masuk Menu Utama.......Bagaimana ini malah ada pernyataan: bahwa belum ada hal yang baru dibuat sedangkan saya udh di booster ke-2,gmn mo dipake kalo ga bisa masuk accountnya",1,negative
60,2023-03-02 12:16:04,5.0.0,"Setelah di-update berubah menjadi SATUSEHAT, tetapi bukannya makin bagus, malah makin jelek saja dr segi tampilan, UX experience jelek, hal2 vital susah di akses. Sertifikat pun parah bangak bug nya.",1,negative
61,2023-04-03 05:29:13,5.3.1,"Sy bingung sama aplikasi ini, berkendala terus dan eror terus, Sampai login aja susah, kemaren kendala eticket yg hilang tiba2 sekarang mau login susah🤦‍♀️. Sebenernya aplikasi ini niat nya membantu atau mau bikin kita jadi repot sih. Mohon bisa diperbaiki secepatnya.",1,negative
62,2023-03-05 03:01:56,5.2.0,"Di hp Vivo stak di logo udah instal ulang juga masih stak...pas di butuhin ga ada solusi...apa riw sertifikat tergantung aplikasi ini karena sebelumnya di peduli lindungi ga da masalah🥲🥲🥲....bisakah di perbaiki,sampai kapan?atau aplikasinya khusus buat hp merk tertentu saja....",2,negative
63,2023-03-02 12:39:12,5.0.0,"Ini apkikasi selalu saya update , tp sayang update yang versi ini kenapa tiba tiba disertivikat vaksin 1 dan 2 saya tanggal lahirnya berubah.......??? Padahal tampilannya tambah keren. Tolong dong kalau pembaharuan itu mestinya lebih baik bukan malah merubah data yang sudah benar..!!!👎",2,negative
65,2023-03-07 13:25:08,5.2.0,Tujuannya perubahan aplikasi dengan harapan lebih sempurna modern dan mungkin ingin terlihat lebih keren dan maju... Tapi nyatanya fakta... di rubah rubah malah lebih sulit dan sepertinya aplikasi belum sempurna... Kenapa yang sudah baik tidak dipertahankan saja itu kan sudah bagus yang kemaren Indonesia sehat ??? Jangan buat masyarakat lebih susah tambah ribet dan bingung menggunakan nya...,1,negative
67,2023-03-01 11:19:49,5.0.0,"Waduh kacau ni, tiba"" berubah jadi Satu Sehat. Saya sudah ga pakai simcard yg lama, sudah hilang. Mau daftar pakai nomor lain ataupun email tidak bisa, krn ID sudah terdaftar dinomor lama, jadi ga bisa log in. Ga bisa pakai alternatif lain. Gimana ini saya mau lakukan perjalanan jd repot, ga bisa ☹️",1,negative
68,2023-03-13 09:38:41,5.2.1,"Kok bisa tiba2 peduli lindungi berubah dengan aplikasi ini jadi ke log out dan nomor yg terdaftar sudah hangus, padahal email terdaftar tapi notifikasi bilang akun tidak ditemukan, di whatsapp juga bikin bingung pengaduannya, tolong dong perbaikin!!",1,negative
69,2023-03-21 06:04:44,5.2.1,"Tolong dong diperbaiki, karena tak semua orang verifikasinya di nomor whatsapp yang masih aktif, harusnya ada verifikasi melalui sms juga atau ada menu perubahan nomor ya g sudah tidak aktif. Jadi ada pilihannya, saya kesulitan untuk log in. Bagusan apk peduli lindungi daripada sekarang ini.",1,negative
70,2023-03-10 01:46:37,5.2.0,"Sudah masukkan alamat email untuk masuk aplikasi, muncul ""AKUN TIDAK DITEMUKAN, SILAHKAN DAFTAR AKUN"". Lanjut klik daftar dan isi data, muncul ""USER ALREADY EXIST"". Yang serius lah bikin aplikasi nya, kalau mau lucu-lucuan buat aplikasi yang lain saja.",1,negative
71,2023-03-09 08:23:36,5.2.0,"Tolong dong ini aplikasinya diperbaiki banyak banget bugnya. Setelah diinstal bisa akses app, namun keluar app, coba masuk lagi kok stuck di satu tampilan SATU SEHAT doang. YAKALIII MAU AKSES APP NYA HARUS DI UNINSTALL LAGI SUPAYA BISA AKSES. TOLONG SEGERA DIPERBAIKIIIII",1,negative
72,2023-03-13 07:02:51,5.2.1,"Sebelumnya bagus aja pas masih pedulilindungi, pas ganti ini malah gak bisa dibuka karena kode verif terkirim di WA. Ini pengembang mikir gak sih kalo gak semua nomor telepon itu terhubung di WA. Bikin ribet tau. Not recommended 👎👎👎 masa cuma buat liat sertifikat doang harus daftar WA lagi, gimana dengan orangtua yang mau dicekin sertifikat vaksinnya tapi HP belum android. Tolong diperbaiki lagi sistemnya. Sistem itu untuk mempermudah bukan mempersulit.",1,negative
73,2023-03-01 01:13:20,5.0.0,"untuk login masih bermasalah, buat akun ternyata data sudah terlampir, verifikasi melalui no telp tidak bisa dan email juga tidak bisa padahal data sudah ada dan selalu invalid. Tolong diperbaiki dengan estimasi waktu yang singkat.",1,negative
74,2023-03-09 09:42:34,5.2.0,"Knp setelah diupdate kok malah ga bisa dibuka ketika dibuka app nya malah ga bisa digunakan alasannya jaringan gangguan/cek kuota apanya yang dicek kuota full wifi lancar. Appnya yg ga bener nih, kalo blm upgrade prencanaannya ga usah update2. Msh bagus yg lama, perbaiki lagi...",1,negative
75,2023-03-07 07:53:16,5.2.0,"Apk ini bug nya parah banget, sistem pembaharuan nya banyak bug nya tidak bisa masuk ataupun login, yg seharusnya tidak usah bikin kartu vaksinasi malah bikin kartu vaksinasi. Dan untuk perusahaan apk ini segera selesaikan masalah bug yg terjadi di apk ini, agar tidak bikin pengguna apk ini tidak ada banyak yg mengeluh karena terjadinya bug di apk ini.",1,negative
76,2023-03-06 03:44:41,5.2.0,"Setelah di update tidak bisa masuk ke aplikasi peduli lindungi, stuck di logo aplikasi saja. Keponakan saya juga mau masuk ke peduli lindungi juga ga bisa, sudah telp. ke 119 dg Pengaduan nomor 230109_0ywec, juga sudah selama 3 bulan tidak ada perubahan,. Tidak ditindak lanjut. Percuma telpon ngadu ato wa, di suruh cek secara berkala tp tidak ada hasilnya.",1,negative
77,2023-03-05 17:26:37,5.2.0,"Selesai pembaruan malah g bisa masuk,hanya muncul gambar logo. Sudah hapus data tetap tidak bisa, tolong buat aplikasi yang bener donk. Gimana mau dapat rating yang bagus kalau banyak banget kendala",1,negative
78,2023-03-02 15:48:33,5.0.0,"Hallo Admin, Mohon perbaikannya terkait : 1. Pada saat login beberapa kali muncul pesan error 503, dan setelah di coba beberapa kali, baru bisa login 2. Pada saat akan menambahkan data keluarga, harus berulang kali klik tambah keluarga baru data tersimpan 3. Pada saat akan masuk kedalam tampilan status vaksin, beberapa kali data tidak tampil dan setelah di coba berulang kali, baru data dapat tampil Jika sudah benar baru saya akan tambahkan bintangnya ya, Terimakasih",1,negative
80,2023-03-03 04:11:02,5.0.0,"Aplikasi bagus yg lama pas masih peduli lindungi, dimana sertifikat vaksin dapat diakses dengan mudah, khususnya guru yg menghandle murid satu kelas malah gak bisa buka banyak murid mesti dijatah 6 tiap akunnya. Dan sertifikat tidak langsung muncul hanya berbentuk barcode",1,negative
81,2023-03-17 03:05:24,5.2.1,"Aplikasi ngga jelas,, ganti NIK di profil ngga bisa terus... Nama akun betul sesuai KTP,, tapi NIK bukan punya saya.. setiap diganti malah eror terus, padahal sinyal bagus.. tolong responnya untuk diperbaiki..",1,negative
82,2023-03-01 01:47:14,5.0.0,Setelah diupdate data tiket dan sertifikat malah berkurang. Tiket dan sertifikat boster ke 2 tidak muncul lagi padahal di versi sebelumnya sdh lengkap. Update ini masih banyak bug nya login pakai nomor HP masih susah. Segera diperbaiki.,2,negative
83,2023-03-01 04:22:22,5.0.0,"Kalo memang belum siap dirubah seharusnya nggak usah langsung dirubah. Mau masuk ke aplikasi aja susah. Mau masuk dengan nomer hp atau email yg sudah benar aja suruh register lagi. Waktu coba daftar nomer sudah terdaftar, tp tetep nggak bisa masuk. Bolak balik gitu terus. Padahal butuh untuk unduh sertifikat 👎🏻",1,negative
84,2023-03-06 01:35:33,5.2.0,"Di update malah ga bisa login, loading aja terus di halaman Logo. Sudah hapus data sudah hapus memory tetap ga bisa. Trus gimana kalo harus check-in! Kalo masih banyak bug jangan di launching dulu. Ini mengganggu sekali!",1,negative
