,at,reviewCreatedVersion,content,score,sentiment
2724,2022-12-09 15:06:45,4.5.9.1,"Aplikasi paling nguras kesabaran, yang bikin kesal kenapa minta di update Mulu gitu lho, mana kalau tidak di update hari itu juga auto ga bisa dipakai, update si boleh boleh aja tapi ya jangan keseringan banget, mana kalau mau dipakai di saat saat mepet seperti waktu mau scan masuk kantor kadang lemotnya luar biasa, tolong lah siapapun pengolah aplikasi ini diperbaiki lagi deh biar tidak menyusahkan",1,negative
2726,2022-12-09 13:02:11,4.5.9.1,Penggunaan lambat... Lebih baik aplikasi milik luar dari pada aplikasi dalam negeri... Semoga bisa di ubah menjadi lebih baik bahkan bisa di gunakan di smartphone biasa.. dan mohon untuk kapasitasnya tidak melebihi penyimpanan smartphone biasa,1,negative
2740,2022-12-20 10:57:44,4.5.9.1,"Aplikasinya ga jelas, mau daftar semuanya sudah benar tapi selalu gagal \ di tolak, tolong lah permudah lagi kaya dulu, saya udah daftar pakai nomor, pakai email, pasti jawaban no nik dan nama harus sesuai, lah emang saya ga bisa liat, kecuali saya ga bisa liat wajar salah, semuanya udah benar, tapi gagal terus, sudah daftar jam 07.30, tetep aja ga bisa, malah ada tulisan nik sudah terdaftar,",1,negative
2750,2022-11-06 13:42:40,4.5.7,"Pusing, berkali-kali mencoba bikin akun baru di sini gagal terus , di bilang nik tidak sesuai padahal memang itu nomor nik nya, trus dicoba lg di bilangnya sudah di kirim 3x notifikasi OTP -nya, padahal gak ada 1 pun notifikasi OTP yg masuk ke no hp . Jd ini gimana?",1,negative
2752,2022-11-07 13:09:36,4.5.7,"Sistem nya spt nya belum terlalu berfungsi dg baik, utk penyesuaian data sangat memakan waktu yg cukup lama, sdh 1 bulan saya vaksin tp blm terinput d sistem. Kendala nya dmn, tdk ada penjelasan dr pihak cs pedulilindungi dan tim terkait. Sdkit kecewa dg sistem nya. Hrsnya sistem dbuat untuk mempermudah, tp tnyta tidak utk aplikasi ini.",1,negative
2819,2022-11-08 22:59:48,4.5.7,"Aplikasi sampah, penilaian saya untuk backend. Harusnya dibuat async supaya tidak blank saat hi load. Untuk frontend, ux nya payah. Entry nik tersembunyi dibelakang, login di hp lain mesti cari2 page untuk entry nik supaya sertifikat keluar. Bikin orang stress dipintu masuk mall.",1,negative
2844,2022-11-22 18:25:42,4.5.8,"Kalau aplikasi ini penting, tolong support sistemnya lebih baik lagi. Data sudah sesuai baik nik dan nama tapi disistem malah ngebug. Bikin emosi aja. Pegel jari ngulang2 ngetik, trnyata apknya yg sangat buruk",1,negative
2918,2022-12-13 11:56:06,4.5.9.1,"Tolong dong ka diperbaiki lagi soal masuk ke akun pribadi di pedulilindungi. Kalo nomor hp sudah hilang/rusak bisa masuk melalui nik pribadi sendiri, gausah pake otp otp lah. Kalo cuma mengandalkan nomor hp, misalkan nomornya sudah hilang/rusak gimana bisa masuk !!",2,negative
2998,2023-02-17 00:12:46,4.6.0,"Makin di update,makin susah untuk login, nomor telepon dan email tdk terbaca(user not found), setelah mencoba mendaftar kembali sesuai nomor telepon dan email dn Nik KTP tpi ada kendala lagi nik KTP sdh terdaftar,, bingung caranya,,agak rumit untuk login,,",1,negative
3033,2022-12-26 16:57:23,4.5.9.1,"Gimana ini, setelah update, user not found. Siapa sih IT nya ini, buat aplikasi kacau bgni. Dah booster pun, gmna mau bepergian dgn pesawat kalau data aja ga ada. Dibuat daftar ulang juga katanya ga cocok. Mempersulit urusan org aja sih",1,negative
3036,2022-11-21 12:03:03,4.5.8,"Aplikasik gajelass , sudah 4 kali saya pengajuan lewat telp 119 , lewat email , lewat whatsapp pedulilindungi untuk mengganti nomor dan hampir satu minggu saya msh belum bisa login diaplikasi menggunakan nomor baru . PERBAIKI!!!!!!!!!!!!!",1,negative
3066,2022-12-30 15:54:20,4.5.9.1,"Ditinggal beberapa minggu, pas buka selalu minta update 🙄, AGAIN few weeks later Please ada apa dan mengapa saat dipakai tiba2 logout, sekarang login lagi pakai emailnya sampe kirim belasan kode verifikasi pas dimasukkan tidak ada yg berhasil, coba pilih daftar ulang no hp & email lain tidak bisa juga, ini harus gimana? Sampe capek sendiri nonton tutorial di YouTube, sudah email ke pedulilindungi juga tapi belum ada balasan😖 gak pernah dapat aplikasi seaneh ini cuma mau login doang🤐",1,negative
3073,2022-12-05 04:13:55,4.5.9,"Tidak bisa melihat sertifikat vaksin (layar putih), malah disuruh buka lewat website. Lalu gunanya aplikasi buat apa? Sudah hapus cache, logout, login ulang, instal ulang aplikasi, hasilnya tetap sama. Ulasan yang lain juga kebanyakan mengeluh. Apakah update aplikasi tidak diuji dulu sebelum dirilis? KAMI BUTUHNYA SOLUSI BUKAN PERMINTAAN MAAF. Terimakasih",1,negative
3110,2022-12-13 04:51:39,4.5.9.1,"Kenapa setelah diupdate versi terbaru peduli lindungi malah jadi lemot,mau lihat sertifikat vaksin gak bisa status muter muter gak karuan dg dasar layar putih sertifikat gak muncul muncul. Serius gak sih update versih terbarunya?????.",1,negative
3112,2022-11-28 22:18:35,4.5.8,"Kecewa dengan sistemnya, tanggal, jenis, dan lokasi vaksin saya berbeda dan gak bisa di ubah, komplain sana sini malah lempar2an aja jawabannya. Gimana sih, katanya sudah sistem digital masa si inputornya salah masukin nik saya, dan gak bisa di ubah lagi. Pantes aja yaa, banyak orang tidak vaksin tapi bisa keluar sertifikatnya",1,negative
3114,2022-10-25 02:24:40,4.5.7,"Kasian sih, sekelas aplikasi punya kementrian dengan anggaran besar cuma bisa kayak gini, loading screen sangat lama, dan kadang cuma loading screen saja, saya kira HP saya yang bermasalah, saya coba dibeberapa HP saudara-saudara saya, sama saja, sudah update pun, tetap begitu, sangat mengecewakan pengguna.",1,negative
3123,2022-11-05 01:01:17,4.5.7,"Update: katanya registrasi hanya jam 6-20. Ini bukan masalah registrasinya, data saya sdh ada, hanya setiap mau login aplikasi dibilangnya user not found. --- Udah berkali2 mau coba masuk ga bisa. Notifikasinya user not found. Repot banget deh.. waktu coba masukin data lagi di daftar baru juga ga bisa, katanya nama dan nik tdk sesuai. Lah gimana ini.. bintang 1 dulu, kalo bisa normal lagi baru bintang 5",1,negative
3177,2023-01-11 09:50:16,4.6.0,"Aplikasi sangat buruk,jarusnya angota keluarga yang kami masukan pada aplikasi. Data sertivikat mereka dapat kami lihat,untuk mengecek sertivikat vaksin. Pada halaman web yg diberikan dan Watshap juga sangat tidak membantu. Di minta untuk memasukan tanggal vaksin dan nama vaksin. Padahal kami mengunakan aplikasi karna sertifikat manual yang kami dapatkan hilang. Harusnya saat memasukan nik sudah terbaca otomatis.seharusnya aplikasi ini memudahkan bukan menyulitkan.apalagi untuk orang yang gaptek",1,negative
3178,2023-01-20 03:23:29,4.6.0,sy baru saja update aplikasi ini (install ulang) krn yg sblmnya tdk bs dibuka. stlh terinstall ulang malah sama saja. tdk bisa dibuka😑😣sy mau pergi keluar daerah. bgmn ini?? nnt khawatir terkendala dlm birokrasinya. tlg dibantu dong kemenkes🙏🏻,1,negative
3179,2023-02-01 14:16:32,4.6.0,"ini kenapa ya saya tidak bisa daftar di peduli lindungi untuk melihat nomor sertifikat saya ? saya sudah teliti akan penempatan nama dan nomor nik akan tetapi selalu ditolak dikarenakan perbedaan nik dan nama, padahal saya sudah coba di website untuk melihat hasil vaksin saya dan ternyata cocok, mohon ditingkatkan lagi databasenya saya kesal hari ini 😡",2,negative
3180,2023-01-30 23:53:43,4.6.0,"apk nya susah untuk masuk padahal itu pakai nomor yang sudah terdaftar malah user not found, sudah vaksin malah serifitkat nya gak muncul2 . tolong diperbaiki lagi. karena kita butuh untuk kerja !",1,negative
3181,2023-01-24 00:13:56,4.6.0,"Tolong diperbaiki aplikasinya. Saya mau cek sertif vaksin gabisa krn loginnya harus pake 1 nomor HP aja-_- nmr saya dipake di hp adik, saat diliat sm adik SMS OTP hari kemarin sudah kadaluarsa (2 menit+). Saya coba hari ini malah ga muncul2 SMS kode OTP yang barunya. Ini gimana solusinya!!?? Mau daftar pake email / nmr lain pun gabisa, ada tulisan NIK sudah terdaftar!!? Tolonglaaahhh katanya ni aplikasi wajib tapi ga guna bgt!!! Udh dicoba di website pun krn cara loginnya sama, sama aja ga guna",1,negative
3182,2023-02-25 23:27:06,4.6.0,"Sumpah ya... Mau masuk lagi dengan nomor berbeda engga bisa dan masukin nomor lama yang udah mati klik tombol nomor telepon telah berbeda, balik ke awal lagi. Gua kira bakal ada caranya bisa ganti nomor telepon ternyata tidak sama sekali. Niat bikin aplikasi engga?",2,negative
3184,2023-01-11 02:04:23,4.6.0,"Kenapa tdk bisa menambahkan anggota keluarga. Padahal data sdh benar semua saya cek berulang ulang. Sm masukkan tanggal lahir susah sekali harus mundurkan tanggal lahir satu satu bulan bulan tdk bs diketik langsung . Memakan waktu , hbs itu data tdk valid alasannya. !!",1,negative
3185,2023-01-27 13:18:18,4.6.0,"Harus download aplikasi yang versi terbaru agar bisa dibuka, jika tdak diperbarui tdk bisa digunakan. Kok saya gabisa download sertifikat dari website ya, saya vaksin bln November 2022. Jadinya harus download ulang aplikasi yang kurang berguna inii :(",1,negative
3187,2023-01-09 08:02:00,4.5.9.1,Input vaksin dari luar negeri kenapa bisanya cuma 1 per 1 dan mesti menunggu konfirmasi dulu??? untuk input datanya pun tidak di permudah seperti input tanggal lahir maupun tanggal vaksin.. Tolong dong kalau mengharuskan pakai aplikasi ini segera diperbaiki dan dipermudah,1,negative
3188,2023-01-27 06:18:41,4.6.0,"Tolong dilihat lagi sarana bantuannya, saya mau log in ke apk nya ga bisa karena no hp nya hangus, mau daftar ulang lagi tetep ga bisa karena no nik telah terpakai, sudah kirim email pedulilindungi pun ga ada balasan, mohon diperhatikan lagi keluhan masyarakat ini, mohon bantuannya🙏",1,negative
3190,2023-02-18 09:01:31,4.5.7,"Mau update dari kemarin"" ga bisa terus, dari ada sinyal sampe ilang lagi tetep aja ga update. Terakhir instal ulang juga ga bisa.. apa nya yang diperbaiki coba.",2,negative
3191,2023-01-30 12:58:52,4.6.0,"aplikasi taik! bkin full2 memori sja, gak bsa masuk2 ke aplikasi hanya halaman depannya yg terlihat, aplikasi dan aturan kamvret! ""update"" sama aja udh ku ikuti intruksi mu, bahkan smpai ku uninstall tetap gtu aja hanya tampilan depan yg kelihatan gak pindah2, aplikasi govlok!!!",1,negative
3193,2023-02-21 13:26:29,4.6.0,"Jujur Kecewa ya, disaat ingin diaplikasikan yang semestinya memudahkan masyarakat/customers, namun yang ada ntah bug atau memang sistimnya bermasalah. Contoh misal akun saya, ketika update profil yang sudah benar benar sangat tepat namun masih disalahkan oleh sistem yang akibatnya profil tidak dapat disave dengan lengkap. Ada lagi ketika claim sertif ketika sudah mengisi sesuai prosesur bahkan tanggal vaksin sudah tepatpun masih terjadi bug, jadinya belum bisa diclaim. Dimohon ya Min🙏🏻🙏🏻🙏🏻",2,negative
3196,2023-01-22 05:39:53,4.6.0,"Heran sama aplikasi ini. Dari dulu sudah vaksin dan muncul sertifikat. Sekarang malah ngilang, harus input data. Dan ribetnya lagi disuruh input tanggal vaksin, mana ingat. Harusnya input NIK aja langsung submit dan muncul!",1,negative
3197,2023-02-19 23:01:11,4.6.0,"Baru mendaftar saja, sudah ada pemberitahuan anda sudah melakukan 3 kali verifikasi padahal kode verifikasi belum dikirim, dan juga sudah melakukan via SMS, web site resmi pedulilindungi, juga via WA tapi saja sama juga tidak bisa mendaftar",2,negative
3198,2023-01-20 16:16:55,4.6.0,"Aplikasinya kok kayak aplikasi yg dibuat oleh pemula, bahkan pemula pun bisa lebih baik. Aplikasi yg sangat buruk, waktu dibutuhkan saat genting banyak erornya",1,negative
3199,2023-02-25 13:49:59,4.6.0,"Taik kucing, sampai sekarang tiket vaksin booster ke 2 saya belum muncul padahal saya vaksin booster pertama tgl 5 april 2022, sampai sekarang belum muncul, juga di telpon dan di email ke peduli lindungi, bertele tele saja jawaban nya ga ada kepastian.. taik kucing lah..",1,negative
3200,2023-01-23 17:16:45,4.6.0,"Boro boro mau liat sertifikat, mau daftar aja susah gagal mulu, padahal semua data udh benar, kalah cepat sama ngajuin pinjol lha nik no hp nama udh bner, meskipun loading juga paling lama setengah jam, lha ini platform pemerintah bagaimana??",1,negative
3204,2023-01-19 13:34:39,4.6.0,"Tidak bisa register, ngebug terus, notif suruh sesuaikan nama dan NIK dengan KTP, padahal semua audah sesuai, ditanyakan ke capil juga nik valid, jo hp juga aktif, email aktif, tapi entahlah, aplikasi sampah kayak gini",1,negative
3205,2023-01-28 04:14:46,4.6.0,"Ini aplikasi pemaksaan. Sementara dunia sudah terbebas dari covid19, dan kita masi harus vaksin berjilid2. Aplikasi ini membuat batasan aktivitas, permanen bagi kami yg akan kerja/kembali ke kampung halaman yg harus mewajibkan kami menggunakan pesawat. Aplikasi di buat, tanpa update yg mempuni. Tapi kami harus menggunakannya secara berkala tanpa setatus update. Sementara mereka tidak pernah melakukan survei epek vaksinasi, yg menyebabkan timbulnya penyakit baru. Dan mengikis daya tahan tubuh.",1,negative
3207,2023-02-16 01:27:38,4.6.0,"Setelah di update saya pikir akan jadi lebih baik,setelah dibuka malah harus isi data lagi,yang jadi masalah kalo data vaksin saya lupa,jadinya susah lagi. Harusnya terisi LG secara otomatis.",1,negative
3208,2023-01-17 11:31:55,4.6.0,Vaksin booster 1 sudah dilaksanakan dan sudah ada sertifikat. Vaksin booster ke 2 sudah dilaksanakan juga tapi blm ada sertifikat. Alasan karena tiket undangan utuk vaksin selanjutnya belum ada. Kenapa bisa begitu ya ? Sudah coba klaim sertifikat lewat apk dan web tapi gagal terus alasannya karena terlalu banyak percobaan. Jadi kapan sertifikat akan keluar. Bertanya ke WA resmi kemenkes pun slow respon,1,negative
3209,2023-02-13 23:58:05,4.6.0,"Aplikasi lelet, lemot, tidak responsif, banyak bug, sering eror, tidak bisa digunakan untuk masuk akun, sering for close, dan keluar-keluar sendiri.",1,negative
3210,2023-01-23 06:56:46,4.6.0,"Saya waktu lalu kehilangan HP dan diharuskan menganti ke no yg baru, setelah menganti tetapi tidak bisa login karena ""user not found"". saya sudah melaporkan nya di email tetapi hanya disuruh tetap coba login, ini Sudah 2 bulan lebih dan tetap tidak bisa masuk, bagaimana ini?",1,negative
3215,2023-01-16 07:55:35,4.6.0,"Bukan bermaksud menjelekan, tapi kenapa setiap aplikasi milik pemerintah kualitasnya buruk terkesan membuang anggaran saja Aplikasi ini setelah minta di update malah tidak dapat digunakan, stuck di halaman awal Mohon perbaikanya dengan serius",1,negative
3216,2023-02-01 03:22:52,4.6.0,"Aplikasi Ini kok tidak ada Menu khusus untuk lokasi Vaksin terdekat ya Min...? Sbb syarat untuk berpergian sebagaian sarana transportasi masih mensyaratkan sudah Vaksin, jadi agar lebih memudahkan user Peduli Lindungi alangkah baiknya ditambahkan menu lokasi Vaksin Terdekat agar kita bisa lebih mudah mengatur waktu untuk perjalanan Min..",2,negative
3217,2023-02-11 03:31:23,4.6.0,Tidak bisa dibuka padahal udah diupdate cuma stuck di logo ! Mana ada kebutuhan untuk booster ke 2 gimana mau isi E-tiketnya nih ! Makin diupdate makin parah malah,1,negative
3219,2023-02-18 10:31:06,4.5.9.1,"saya hpnya hilang, dan sudah punya yang baru lagi. Kebetulan dihp yang hilang saya sudah verifikasi 3x, jadi pas saya coba dihp baru gabisa login lagi, saya lupa gmail saya. Jadi ini bagaimana??",1,negative
3221,2023-01-15 14:54:19,4.6.0,"Aplikasi berbasis gini, ribetnya minta ampun, sudah susah tambah susah, negara Macam apa ini penyakit yg belum tentu mematikan pun di buat ribet, sampe saat ini pun saya belum pernah lihat orang kejang"" kena covid terus mati, di tambah aplikasi yg kaya gini.",1,negative
3222,2023-02-07 17:20:06,4.6.0,"Mohon di perbaiki saya mau daptar kok susah, tiap kali mau daptar selalu gagal dengan alesan nama saya tidak sesuai dengan nomer nik. Padahan sudah benar data datanya.",2,negative
3223,2023-02-06 00:02:57,4.6.0,Gimana cara ganti no hp biar bisa login. Karna no hp yg lama buat daftar dulu sudah hilang. Jadi saya gabisa login. Ribet bgt gabisa d ganti. Saya sudah hubungi layanan wa resmi saya sudah email. Sudah sebulan lebih cuma d suruh login secara berkala. Tolong lah tindakannya klo emang peduli lindungi d butuhkan,1,negative
3224,2023-01-22 22:33:13,4.6.0,"Gimana ni? masa nama dan nik udah bener tapi pas pengen daftar selalu gagal, katanya nama dan nik harus sesuai ktp, padahal nama dan nik nya sudah sesuai yg ada di ktp!!! Tolong bantuannya dan pengarahannya admin PeduliLindungi🙏🏻🙏🏻",1,negative
3226,2023-01-18 15:02:18,4.6.0,"Ini gimana saya butuh sertifikat vaksin saya. Pas mau claim knapa gak muncul juga, udah sepuluh kali data sudah benar id pun terdaftar.. Tolong lah perbaiki jangan buat makin sulit.. Butuh banget buat kerja ini..",1,negative
3227,2023-01-11 01:28:37,4.6.0,Semakin kesini semakin berat aplikasinya. Tolong diperbaiki bug utk scan barcode. Device: nokia 8,1,negative
3228,2023-01-25 04:23:13,4.6.0,"Ini kenapa sertifikat vaksin saya kosong di pedulilindungi, disuruh klaim ya saya gak ingat kapan tanggal vaksin terakhir atau pertama tolong segera di-update, awal ga ada masalah ini setelah ganti tampilan kok tidak ada padahal sudah hijau di hasil vaksin ada 3 tapi sertifikatnya tidak ada",2,negative
3229,2023-01-30 07:01:04,4.6.0,Sangat tidak jelas banget arahan dan petunjuk nya. Sangat tidak efisien mau liat sertifikat vaksinasi aja di suru cocok kan gambar lalu verifikasi. Da gitu terlalu banyak juga tidak siap siap,1,negative
3232,2023-02-08 16:45:12,4.6.0,"Data udah benar sesuai format yang di minta, masih saja di sebut nik dan namah tidak sesuai. Katanya suruh daftar, giliran daftar di persulit. Pemerintah pemerintah",1,negative
3233,2023-02-27 11:06:14,4.6.0,"Dari seminggu yg lalu sampai sekarang masih blm bisa di buka. Katanya apk ini penting, tapi kok kayak gini amat ya? Trs klo pas di bandara misalnya. Pas gak bisa di buka,gimana coba.",2,negative
3234,2023-02-16 01:32:24,4.6.0,"Bukannya ngebantu sama sekali Mala makin stress gara2 urus ini doang. Saya ga bisa login karena udah ganti hp, no dan lupa email. Harusnya bisa masuk dong kalo nik kita udah terdaftar dan dimasukin. Ini Mala ga bisa masuk peduli lindungi. Karena di tempat vaksin sekarang ga dikasih sertifikat vaksinnya. Gara² udah ada aplikasi ini. Ga membantu sama sekali. Dalam Minggu ini mau mudik, entah kek mana nantinya dibandara. Tau ah cape!",2,negative
3235,2023-02-05 02:53:37,4.6.0,"Kenapa gabisa masuk si, no telp sama email dah bener juga, mau daftar lagi nik sudah terdaftar terus solusi nya gimana nih kalo kaya gini? Tolong dong gimana saya dah dua hari nyoba gabisa-bisa cape lah bukannya mempermudah ☺",2,negative
3236,2023-02-18 14:26:17,4.6.0,"Gimana sih dulu aman2 aja ni apk, maki kesini makin gajelas,masa mau cek sertifikat vaksin aja yg dulunya mudah ngeceknya, sekarang malah muncul tulisan data tidak valid terus padahal dari nama NIK sudah bener bgt Gimana nih kasih solusinya dong.",1,negative
3237,2023-02-12 09:31:25,4.6.0,"Kecewa sama pelayanan peduli lindungi, mau ganti nomor prosesnya lama sekali.. Padahal urgent mau buat kerja. Kalo ga bisa sat set mndung di aplikasinya di canymin meni ganti nomor mandiri aja dr pada lewat cs ribet. Giliran ditanya estimasi butih berpaa lama jawabnya tidka bisa memastikan. Aneh memang.",1,negative
3239,2023-02-13 12:24:00,4.6.0,"Aplikasinya makin ke sini malah makin ke sana. Mau log in, malah gak bisa. Gimna dah ini. Please deh, aplikasinya jngn cuman minta update mulu tpi kinerjany malah jadi jelek. Hadeuh",1,negative
3244,2022-10-27 08:46:05,4.5.7,"Aplikasinya ribet. Disuruh pasang Aplikasi PeduliLindung, setelah berhasil, untuk cek status, Ribet.!!!! Sekarang diarahkan ke Site-nya pedulilindung.co.id Terus gunanya aplikasi PeduliLindung apa? MERIBETKAN !!! Gak sesuai Janji dan Komitmen awal....!!!",1,negative
3246,2023-01-19 16:05:10,4.6.0,Tolong dong ini kenapa gabisa daftar akun? Udh ikutin semua arahan tapi kenapa harus sesuaikan nama dan nik padahal udh sama semua sesuai KTP coba ini gimana baru pertama kali gabisa digunain aplikasi nya,1,negative
3257,2023-01-14 04:41:45,4.6.0,"Kenapa saya tidak bisa masuk/mengecek data saya pdhl sudah dapat sertifikat vaksinya,kenapa di dalam apk ini tidak bisa masuk tros pdhal semua udah benar masih aja tidak bisa tros tolong dong di perbaiki ini semua",1,negative
3288,2022-10-28 14:21:35,4.5.7,"Kok fitur-fitur yang ada tidak bisa dibuka? Tampilan yang muncul hanya halaman blank putih. Saya kira HP saya yang eror, tapi walaupun sudah restart, cara mode pesawat, maupun pake wifi hasilnya ternyata sama saja padahal kecepatan jaringan sudah Mb",1,negative
3292,2023-01-30 07:41:10,4.6.0,"Ini aplikasi udah beberapa kali saya hapus terus download lagi Tetep saya ga bisa masuk lagi, setelah saya keluarin dari aplikasi,coba tolong bantuannya Klu bisa membantu nanti saya tambahkan bintangnya,",1,negative
3302,2023-02-15 16:06:13,4.6.0,"Bapak / ibu tolong saya dong saya butuh buat akses pedulilindung saya ,tapi nomor hp yang saya pakai dan hp nya sudah hilang di curi orang ,sekrng mau masuk akun gak bisa sama sekali untuk nyetak sertifikat vaksin saya🙏tolong mudahkan buat masuk akses nya dong semisal hanya menggunakan nomor nik ,saya sudah hubungi whtshapp RI juga gak ada balasan hanya jawaban bug yang saya dapatkan",2,negative
3303,2023-02-18 00:10:37,4.6.0,"aplikasi diluncurkan, tapi belum siap digunakan, sehingga masih banyak masalah di dalamnya. untuk pendaftaran saja masih bermasalah, untuk verifikasi saja masih bermasalah. sebenarnya apa tujuan adanya aplikasi ini ada jika tidak bisa diaplikasikan ? menambah masalah ?",1,negative
